,Batch id, time, Longitude, Latitude, x, y, z,velocity,x_raw,y_raw,z_raw,label
0,73,2017-10-15 13:43:02.008,36.76370629,-1.2977343,0.0,0.002,-0.006,0.0,0.0,0.206757482076,-0.620272446228,0.0
1,73,2017-10-15 13:43:02.019,36.76370629,-1.2977343,0.0,0.0,-0.001,0.0,0.0,0.206757482076,-0.631272446228,0.0
2,73,2017-10-15 13:43:02.120,36.76370629,-1.2977343,0.0,-0.001,0.006,0.0,0.0,0.105757482076,-0.0252724462277,0.0
3,73,2017-10-15 13:43:02.224,36.76370629,-1.2977343,0.001,-0.002,-0.005,0.0,0.104,-0.102242517924,-0.545272446228,0.0
4,73,2017-10-15 13:43:02.327,36.76370629,-1.2977343,-0.001,0.002,0.001,0.0,0.001,0.103757482076,-0.442272446228,0.0
5,73,2017-10-15 13:43:02.431,36.76370629,-1.2977343,0.0,0.001,0.003,0.0,0.001,0.207757482076,-0.130272446228,0.0
6,73,2017-10-15 13:43:02.535,36.76370629,-1.2977343,0.0,-0.002,-0.004,0.0,0.001,-0.000242517924094,-0.546272446228,0.0
7,73,2017-10-15 13:43:02.639,36.76370629,-1.2977343,0.0,0.0,0.005,0.0,0.001,-0.000242517924094,-0.0262724462277,0.0
8,73,2017-10-15 13:43:02.742,36.76370629,-1.2977343,0.001,0.001,-0.001,0.0,0.104,0.102757482076,-0.129272446228,0.0
9,73,2017-10-15 13:43:02.846,36.76370629,-1.2977343,0.0,-0.001,-0.003,0.0,0.104,-0.00124251792409,-0.441272446228,0.0
10,73,2017-10-15 13:43:02.951,36.76370629,-1.2977343,-0.001,0.001,0.004,0.0,-0.001,0.103757482076,-0.0212724462277,0.0
12,73,2017-10-15 13:43:03.054,36.76384141,-1.29768699,0.0,-0.001,0.0,15.9632542998,-0.001,0.000757482075906,-0.0212724462277,0.0
13,73,2017-10-15 13:43:03.159,36.76384141,-1.29768699,0.0,0.0,-0.003,15.9632542998,-0.001,0.000757482075906,-0.336272446228,0.0
14,73,2017-10-15 13:43:03.261,36.76384141,-1.29768699,-0.001,0.001,0.003,15.9632542998,-0.103,0.102757482076,-0.0302724462277,0.0
15,73,2017-10-15 13:43:03.365,36.76384141,-1.29768699,0.002,-0.001,0.001,15.9632542998,0.105,-0.00124251792409,0.0737275537723,0.0
16,73,2017-10-15 13:43:03.469,36.76384141,-1.29768699,0.0,0.0,-0.004,15.9632542998,0.105,-0.00124251792409,-0.342272446228,0.0
17,73,2017-10-15 13:43:03.573,36.76384141,-1.29768699,-0.002,0.001,0.002,15.9632542998,-0.103,0.102757482076,-0.134272446228,0.0
18,73,2017-10-15 13:43:03.676,36.76384141,-1.29768699,0.001,0.0,0.002,15.9632542998,-1.38777878078e-17,0.102757482076,0.0717275537723,0.0
19,73,2017-10-15 13:43:03.781,36.76384141,-1.29768699,0.0,-0.001,-0.003,15.9632542998,-1.38777878078e-17,-0.00224251792409,-0.243272446228,0.0
20,73,2017-10-15 13:43:03.884,36.76384141,-1.29768699,-0.002,0.001,-0.001,15.9632542998,-0.206,0.100757482076,-0.346272446228,0.0
21,73,2017-10-15 13:43:03.988,36.76384141,-1.29768699,0.0,0.0,0.004,15.9632542998,-0.206,0.100757482076,0.0697275537723,0.0
23,73,2017-10-15 13:43:04.091,36.76385069,-1.29768772,0.002,-0.001,0.0,1.04210756904,-2.77555756156e-17,-0.00224251792409,0.0697275537723,0.0
24,73,2017-10-15 13:43:04.196,36.76385069,-1.29768772,-0.002,0.0,-0.009,1.04210756904,-0.21,-0.00224251792409,-0.875272446228,0.0
25,73,2017-10-15 13:43:04.300,36.76385069,-1.29768772,0.0,0.0,0.004,1.04210756904,-0.21,-0.00224251792409,-0.459272446228,0.0
26,73,2017-10-15 13:43:04.403,36.76385069,-1.29768772,0.0,0.0,-0.004,1.04210756904,-0.21,-0.00224251792409,-0.871272446228,0.0
27,73,2017-10-15 13:43:04.507,36.76385069,-1.29768772,0.0,0.001,0.0,1.04210756904,-0.21,0.101757482076,-0.871272446228,0.0
28,73,2017-10-15 13:43:04.611,36.76385069,-1.29768772,0.003,0.0,0.004,1.04210756904,0.102,0.101757482076,-0.455272446228,0.0
29,73,2017-10-15 13:43:04.714,36.76385069,-1.29768772,-0.002,-0.003,-0.003,1.04210756904,-0.104,-0.207242517924,-0.764272446228,0.0
30,73,2017-10-15 13:43:04.818,36.76385069,-1.29768772,-0.001,0.002,0.004,1.04210756904,-0.208,0.000757482075906,-0.348272446228,0.0
31,73,2017-10-15 13:43:04.922,36.76385069,-1.29768772,0.0,0.001,-0.002,1.04210756904,-0.208,0.104757482076,-0.556272446228,0.0
33,73,2017-10-15 13:43:05.026,36.76385614,-1.29768575,0.0,0.0,-0.001,0.647479018118,-0.208,0.104757482076,-0.660272446228,0.0
34,73,2017-10-15 13:43:05.129,36.76385614,-1.29768575,0.001,-0.002,0.005,0.647479018118,-0.105,-0.101242517924,-0.145272446228,0.0
35,73,2017-10-15 13:43:05.234,36.76385614,-1.29768575,0.0,0.001,-0.008,0.647479018118,-0.105,0.00375748207591,-0.985272446228,0.0
36,73,2017-10-15 13:43:05.338,36.76385614,-1.29768575,-0.001,0.002,0.007,0.647479018118,-0.209,0.211757482076,-0.257272446228,0.0
37,73,2017-10-15 13:43:05.442,36.76385614,-1.29768575,-0.001,-0.002,-0.015,0.647479018118,-0.313,0.00375748207591,-1.81727244623,0.0
38,73,2017-10-15 13:43:05.545,36.76385614,-1.29768575,0.001,0.001,0.014,0.647479018118,-0.21,0.106757482076,-0.375272446228,0.0
39,73,2017-10-15 13:43:05.649,36.76385614,-1.29768575,-0.001,0.003,-0.007,0.647479018118,-0.314,0.418757482076,-1.10327244623,0.0
40,73,2017-10-15 13:43:05.752,36.76385614,-1.29768575,0.001,-0.001,-0.001,0.647479018118,-0.211,0.315757482076,-1.20627244623,0.0
41,73,2017-10-15 13:43:05.858,36.76385614,-1.29768575,0.001,-0.002,0.005,0.647479018118,-0.105,0.103757482076,-0.676272446228,0.0
42,73,2017-10-15 13:43:05.960,36.76385614,-1.29768575,-0.001,0.001,0.002,0.647479018118,-0.207,0.205757482076,-0.472272446228,0.0
44,73,2017-10-15 13:43:06.064,36.76377207,-1.29767628,0.0,0.004,-0.008,9.42374362041,-0.207,0.621757482076,-1.30427244623,0.0
45,73,2017-10-15 13:43:06.167,36.76377207,-1.29767628,-0.002,0.0,-0.003,9.42374362041,-0.413,0.621757482076,-1.61327244623,0.0
46,73,2017-10-15 13:43:06.271,36.76377207,-1.29767628,-0.003,-0.002,0.007,9.42374362041,-0.725,0.413757482076,-0.885272446228,0.0
47,73,2017-10-15 13:43:06.375,36.76377207,-1.29767628,0.008,-0.009,0.006,9.42374362041,0.107,-0.522242517924,-0.261272446228,0.0
48,73,2017-10-15 13:43:06.479,36.76377207,-1.29767628,0.005,0.003,-0.001,9.42374362041,0.627,-0.210242517924,-0.365272446228,0.0
49,73,2017-10-15 13:43:06.583,36.76377207,-1.29767628,-0.006,0.008,-0.002,9.42374362041,0.003,0.621757482076,-0.573272446228,0.0
50,73,2017-10-15 13:43:06.686,36.76377207,-1.29767628,-0.006,-0.001,-0.003,9.42374362041,-0.615,0.518757482076,-0.882272446228,0.0
51,73,2017-10-15 13:43:06.791,36.76377207,-1.29767628,-0.001,-0.007,-0.006,9.42374362041,-0.72,-0.216242517924,-1.51227244623,0.0
52,73,2017-10-15 13:43:06.894,36.76377207,-1.29767628,0.003,0.002,-0.004,9.42374362041,-0.411,-0.0102425179241,-1.92427244623,0.0
54,73,2017-10-15 13:43:06.995,36.76376524,-1.29768315,0.006,0.007,0.017,1.07705287941,0.195,0.696757482076,-0.207272446228,0.0
55,73,2017-10-15 13:43:07.097,36.76376524,-1.29768315,0.001,-0.002,0.014,1.07705287941,0.297,0.492757482076,1.22072755377,0.0
56,73,2017-10-15 13:43:07.201,36.76376524,-1.29768315,-0.002,-0.009,0.001,1.07705287941,0.089,-0.443242517924,1.32472755377,0.0
57,73,2017-10-15 13:43:07.304,36.76376524,-1.29768315,0.002,-0.004,-0.01,1.07705287941,0.295,-0.855242517924,0.294727553772,0.0
58,73,2017-10-15 13:43:07.408,36.76376524,-1.29768315,-0.001,0.01,-0.027,1.07705287941,0.191,0.184757482076,-2.51327244623,0.0
59,73,2017-10-15 13:43:07.512,36.76376524,-1.29768315,0.004,0.003,0.017,1.07705287941,0.607,0.496757482076,-0.745272446228,0.0
60,73,2017-10-15 13:43:07.616,36.76376524,-1.29768315,0.001,-0.006,0.016,1.07705287941,0.711,-0.127242517924,0.918727553772,0.0
61,73,2017-10-15 13:43:07.720,36.76376524,-1.29768315,-0.007,-0.005,-0.011,1.07705287941,-0.017,-0.647242517924,-0.225272446228,0.0
62,73,2017-10-15 13:43:07.824,36.76376524,-1.29768315,-0.006,0.0,-0.005,1.07705287941,-0.641,-0.647242517924,-0.745272446228,0.0
63,73,2017-10-15 13:43:07.928,36.76376524,-1.29768315,-0.001,0.003,0.006,1.07705287941,-0.745,-0.335242517924,-0.121272446228,0.0
65,73,2017-10-15 13:43:08.031,36.76376322,-1.29769128,0.007,0.007,-0.002,0.933353763982,-0.024,0.385757482076,-0.327272446228,0.0
66,73,2017-10-15 13:43:08.135,36.76376322,-1.29769128,0.003,0.001,0.007,0.933353763982,0.288,0.489757482076,0.400727553772,0.0
67,73,2017-10-15 13:43:08.238,36.76376322,-1.29769128,0.001,-0.001,0.016,0.933353763982,0.391,0.386757482076,2.04872755377,0.0
68,73,2017-10-15 13:43:08.342,36.76376322,-1.29769128,-0.002,-0.004,-0.009,0.933353763982,0.183,-0.0292425179241,1.11272755377,0.0
69,73,2017-10-15 13:43:08.446,36.76376322,-1.29769128,-0.004,-0.009,0.003,0.933353763982,-0.233,-0.965242517924,1.42472755377,0.0
70,73,2017-10-15 13:43:08.551,36.76376322,-1.29769128,0.0,0.006,-0.006,0.933353763982,-0.233,-0.335242517924,0.794727553772,0.0
71,73,2017-10-15 13:43:08.653,36.76376322,-1.29769128,0.002,0.006,0.002,0.933353763982,-0.029,0.276757482076,0.998727553772,0.0
72,73,2017-10-15 13:43:08.758,36.76376322,-1.29769128,0.004,-0.007,-0.006,0.933353763982,0.391,-0.458242517924,0.368727553772,0.0
73,73,2017-10-15 13:43:08.862,36.76376322,-1.29769128,-0.003,0.001,-0.005,0.933353763982,0.079,-0.354242517924,-0.151272446228,0.0
74,73,2017-10-15 13:43:08.965,36.76376322,-1.29769128,-0.003,0.004,0.001,0.933353763982,-0.23,0.0577574820759,-0.0482724462277,0.0
76,73,2017-10-15 13:43:09.069,36.76375312,-1.29769852,0.002,-0.001,0.003,1.37606877144,-0.022,-0.0462425179241,0.263727553772,0.0
77,73,2017-10-15 13:43:09.173,36.76375312,-1.29769852,-0.002,-0.001,-0.004,1.37606877144,-0.23,-0.150242517924,-0.152272446228,0.0
78,73,2017-10-15 13:43:09.276,36.76375312,-1.29769852,0.0,-0.001,-0.006,1.37606877144,-0.23,-0.253242517924,-0.770272446228,0.0
