,Batch id, time, Longitude, Latitude, x, y, z,speedbump
0,20,2017-09-25 16:51:25+00:00,36.76374199,-1.2976824,0.052,0.006,0.004,0.0
1,20,2017-09-25 16:51:25+00:00,36.76374199,-1.2976824,0.06,0.003,0.002,0.0
2,20,2017-09-25 16:51:25+00:00,36.76374199,-1.2976824,0.054,0.001,0.003,0.0
3,20,2017-09-25 16:51:25+00:00,36.76374199,-1.2976824,0.053,0.0,0.003,0.0
4,20,2017-09-25 16:51:25+00:00,36.76374199,-1.2976824,0.056,0.0,0.004,0.0
5,20,2017-09-25 16:51:25+00:00,36.76374199,-1.2976824,0.056,0.0,0.005,0.0
6,20,2017-09-25 16:51:26+00:00,36.76374142,-1.29768259,0.056,0.0,0.005,0.0
7,20,2017-09-25 16:51:26+00:00,36.76374142,-1.29768259,0.053,0.001,0.004,0.0
8,20,2017-09-25 16:51:26+00:00,36.76374142,-1.29768259,0.055,0.001,0.001,0.0
9,20,2017-09-25 16:51:26+00:00,36.76374142,-1.29768259,0.056,0.002,0.003,0.0
10,20,2017-09-25 16:51:26+00:00,36.76374142,-1.29768259,0.054,0.003,0.003,0.0
11,20,2017-09-25 16:51:26+00:00,36.76374142,-1.29768259,0.054,0.002,0.002,0.0
12,20,2017-09-25 16:51:26+00:00,36.76374142,-1.29768259,0.054,0.001,0.001,0.0
13,20,2017-09-25 16:51:27+00:00,36.76374123,-1.29768186,0.054,0.001,0.001,0.0
14,20,2017-09-25 16:51:27+00:00,36.76374123,-1.29768186,0.057,0.002,0.005,0.0
15,20,2017-09-25 16:51:27+00:00,36.76374123,-1.29768186,0.054,0.002,0.003,0.0
16,20,2017-09-25 16:51:27+00:00,36.76374123,-1.29768186,0.056,0.001,0.006,0.0
17,20,2017-09-25 16:51:27+00:00,36.76374123,-1.29768186,0.054,0.0,0.005,0.0
18,20,2017-09-25 16:51:27+00:00,36.76374123,-1.29768186,0.056,0.001,0.003,0.0
19,20,2017-09-25 16:51:28+00:00,36.7637401,-1.29768226,0.056,0.001,0.003,0.0
20,20,2017-09-25 16:51:28+00:00,36.7637401,-1.29768226,0.054,0.001,0.001,0.0
21,20,2017-09-25 16:51:28+00:00,36.7637401,-1.29768226,0.053,0.001,0.003,0.0
22,20,2017-09-25 16:51:28+00:00,36.7637401,-1.29768226,0.054,0.001,0.003,0.0
23,20,2017-09-25 16:51:28+00:00,36.7637401,-1.29768226,0.054,0.002,0.001,0.0
24,20,2017-09-25 16:51:28+00:00,36.7637401,-1.29768226,0.054,0.002,0.001,0.0
25,20,2017-09-25 16:51:28+00:00,36.7637401,-1.29768226,0.055,0.001,0.004,0.0
26,20,2017-09-25 16:51:29+00:00,36.76373987,-1.29768328,0.055,0.001,0.004,0.0
27,20,2017-09-25 16:51:29+00:00,36.76373987,-1.29768328,0.055,0.0,0.005,0.0
28,20,2017-09-25 16:51:29+00:00,36.76373987,-1.29768328,0.056,0.001,0.009,0.0
29,20,2017-09-25 16:51:29+00:00,36.76373987,-1.29768328,0.055,0.001,0.009,0.0
30,20,2017-09-25 16:51:29+00:00,36.76373987,-1.29768328,0.058,0.005,0.013,0.0
31,20,2017-09-25 16:51:29+00:00,36.76373987,-1.29768328,0.054,0.001,0.009,0.0
32,20,2017-09-25 16:51:30+00:00,36.76373987,-1.29768328,0.054,0.0,0.006,0.0
33,20,2017-09-25 16:51:30+00:00,36.76374121,-1.29768439,0.054,0.0,0.006,0.0
34,20,2017-09-25 16:51:30+00:00,36.76374121,-1.29768439,0.057,0.001,0.005,0.0
35,20,2017-09-25 16:51:30+00:00,36.76374121,-1.29768439,0.055,0.001,0.007,0.0
36,20,2017-09-25 16:51:30+00:00,36.76374121,-1.29768439,0.056,0.001,0.005,0.0
37,20,2017-09-25 16:51:30+00:00,36.76374121,-1.29768439,0.055,0.003,0.007,0.0
38,20,2017-09-25 16:51:30+00:00,36.76374121,-1.29768439,0.056,0.003,0.012,0.0
39,20,2017-09-25 16:51:31+00:00,36.76374014,-1.29768736,0.056,0.003,0.012,0.0
40,20,2017-09-25 16:51:31+00:00,36.76374014,-1.29768736,0.056,0.001,0.015,0.0
41,20,2017-09-25 16:51:31+00:00,36.76374014,-1.29768736,0.055,0.002,0.011,0.0
42,20,2017-09-25 16:51:31+00:00,36.76374014,-1.29768736,0.056,0.002,0.009,0.0
43,20,2017-09-25 16:51:31+00:00,36.76374014,-1.29768736,0.054,0.001,0.006,0.0
44,20,2017-09-25 16:51:31+00:00,36.76374014,-1.29768736,0.051,0.004,0.008,0.0
45,20,2017-09-25 16:51:32+00:00,36.76374014,-1.29768736,0.053,0.004,0.005,0.0
46,20,2017-09-25 16:51:32+00:00,36.76373579,-1.2976963,0.053,0.004,0.005,0.0
47,20,2017-09-25 16:51:32+00:00,36.76373579,-1.2976963,0.06,0.006,0.001,0.0
48,20,2017-09-25 16:51:32+00:00,36.76373579,-1.2976963,0.056,0.001,0.005,0.0
49,20,2017-09-25 16:51:32+00:00,36.76373579,-1.2976963,0.051,0.004,0.013,0.0
50,20,2017-09-25 16:51:32+00:00,36.76373579,-1.2976963,0.046,0.012,0.011,0.0
51,20,2017-09-25 16:51:32+00:00,36.76373579,-1.2976963,0.055,0.005,0.011,0.0
52,20,2017-09-25 16:51:33+00:00,36.76373729,-1.29770784,0.055,0.005,0.011,0.0
53,20,2017-09-25 16:51:33+00:00,36.76373729,-1.29770784,0.065,0.003,0.001,0.0
54,20,2017-09-25 16:51:33+00:00,36.76373729,-1.29770784,0.05,0.006,0.0,0.0
55,20,2017-09-25 16:51:33+00:00,36.76373729,-1.29770784,0.056,0.009,0.001,0.0
56,20,2017-09-25 16:51:33+00:00,36.76373729,-1.29770784,0.057,0.011,0.001,0.0
57,20,2017-09-25 16:51:33+00:00,36.76373729,-1.29770784,0.051,0.007,0.0,0.0
58,20,2017-09-25 16:51:33+00:00,36.76373729,-1.29770784,0.054,0.002,0.002,0.0
59,20,2017-09-25 16:51:34+00:00,36.76374205,-1.29772322,0.054,0.002,0.002,0.0
60,20,2017-09-25 16:51:34+00:00,36.76374205,-1.29772322,0.058,0.001,0.0,0.0
61,20,2017-09-25 16:51:34+00:00,36.76374205,-1.29772322,0.055,0.002,0.0,0.0
62,20,2017-09-25 16:51:34+00:00,36.76374205,-1.29772322,0.054,0.002,0.003,0.0
63,20,2017-09-25 16:51:34+00:00,36.76374205,-1.29772322,0.056,0.005,0.01,0.0
64,20,2017-09-25 16:51:34+00:00,36.76374205,-1.29772322,0.056,0.008,0.013,0.0
65,20,2017-09-25 16:51:35+00:00,36.76374637,-1.2977303,0.056,0.008,0.013,0.0
66,20,2017-09-25 16:51:35+00:00,36.76374637,-1.2977303,0.049,0.012,0.008,0.0
67,20,2017-09-25 16:51:35+00:00,36.76374637,-1.2977303,0.062,0.007,0.007,0.0
68,20,2017-09-25 16:51:35+00:00,36.76374637,-1.2977303,0.052,0.001,0.001,0.0
69,20,2017-09-25 16:51:35+00:00,36.76374637,-1.2977303,0.051,0.001,0.007,0.0
70,20,2017-09-25 16:51:35+00:00,36.76374637,-1.2977303,0.058,0.005,0.004,0.0
71,20,2017-09-25 16:51:35+00:00,36.76374637,-1.2977303,0.062,0.001,0.007,0.0
72,20,2017-09-25 16:51:36+00:00,36.76375749,-1.29774028,0.062,0.001,0.007,0.0
73,20,2017-09-25 16:51:36+00:00,36.76375749,-1.29774028,0.049,0.0,0.001,0.0
74,20,2017-09-25 16:51:36+00:00,36.76375749,-1.29774028,0.052,0.011,0.013,0.0
75,20,2017-09-25 16:51:36+00:00,36.76375749,-1.29774028,0.054,0.006,0.009,0.0
76,20,2017-09-25 16:51:36+00:00,36.76375749,-1.29774028,0.064,0.002,0.007,0.0
77,20,2017-09-25 16:51:36+00:00,36.76375749,-1.29774028,0.053,0.005,0.013,0.0
78,20,2017-09-25 16:51:37+00:00,36.76375749,-1.29774028,0.052,0.002,0.0,0.0
79,20,2017-09-25 16:51:37+00:00,36.76378237,-1.29775158,0.052,0.002,0.0,0.0
80,20,2017-09-25 16:51:37+00:00,36.76378237,-1.29775158,0.058,0.002,0.01,0.0
81,20,2017-09-25 16:51:37+00:00,36.76378237,-1.29775158,0.055,0.002,0.001,0.0
82,20,2017-09-25 16:51:37+00:00,36.76378237,-1.29775158,0.054,0.001,0.013,0.0
83,20,2017-09-25 16:51:37+00:00,36.76378237,-1.29775158,0.058,0.009,0.001,0.0
84,20,2017-09-25 16:51:37+00:00,36.76378237,-1.29775158,0.049,0.013,0.003,0.0
85,20,2017-09-25 16:51:38+00:00,36.76381572,-1.29775796,0.049,0.013,0.003,0.0
86,20,2017-09-25 16:51:38+00:00,36.76381572,-1.29775796,0.06,0.004,0.015,0.0
87,20,2017-09-25 16:51:38+00:00,36.76381572,-1.29775796,0.06,0.006,0.006,0.0
88,20,2017-09-25 16:51:38+00:00,36.76381572,-1.29775796,0.056,0.001,0.01,0.0
