"","X","Batch_id","time","Longitude","Latitude","x","y","z","velocity","x_raw","y_raw","z_raw","label","x_ratio_speed","x_ratio_z"
"1",0,73,"2017-10-15 13:43:02.008",36.76370629,-1.2977343,0,0.002,-0.006,0,0,0.206757482076,-0.620272446228,0,0,0
"2",1,73,"2017-10-15 13:43:02.019",36.76370629,-1.2977343,0,0,-0.001,0,0,0.206757482076,-0.631272446228,0,0,0
"3",2,73,"2017-10-15 13:43:02.120",36.76370629,-1.2977343,0,-0.001,0.006,0,0,0.105757482076,-0.0252724462277,0,0,0
"4",3,73,"2017-10-15 13:43:02.224",36.76370629,-1.2977343,0.001,-0.002,-0.005,0,0.104,-0.102242517924,-0.545272446228,0,0,-0.190730341720795
"5",4,73,"2017-10-15 13:43:02.327",36.76370629,-1.2977343,-0.001,0.002,0.001,0,0.001,0.103757482076,-0.442272446228,0,0,-0.00226104974101073
"6",5,73,"2017-10-15 13:43:02.431",36.76370629,-1.2977343,0,0.001,0.003,0,0.001,0.207757482076,-0.130272446228,0,0,-0.00767622032866276
"7",6,73,"2017-10-15 13:43:02.535",36.76370629,-1.2977343,0,-0.002,-0.004,0,0.001,-0.000242517924094,-0.546272446228,0,0,-0.00183058839395064
"8",7,73,"2017-10-15 13:43:02.639",36.76370629,-1.2977343,0,0,0.005,0,0.001,-0.000242517924094,-0.0262724462277,0,0,-0.038062690901834
"9",8,73,"2017-10-15 13:43:02.742",36.76370629,-1.2977343,0.001,0.001,-0.001,0,0.104,0.102757482076,-0.129272446228,0,0,-0.80450245225942
"10",9,73,"2017-10-15 13:43:02.846",36.76370629,-1.2977343,0,-0.001,-0.003,0,0.104,-0.00124251792409,-0.441272446228,0,0,-0.235682061930204
"11",10,73,"2017-10-15 13:43:02.951",36.76370629,-1.2977343,-0.001,0.001,0.004,0,-0.001,0.103757482076,-0.0212724462277,0,0,0.0470091680710348
"12",12,73,"2017-10-15 13:43:03.054",36.76384141,-1.29768699,0,-0.001,0,15.9632542998,-0.001,0.000757482075906,-0.0212724462277,0,-6.26438683002456e-05,0.0470091680710348
"13",13,73,"2017-10-15 13:43:03.159",36.76384141,-1.29768699,0,0,-0.003,15.9632542998,-0.001,0.000757482075906,-0.336272446228,0,-6.26438683002456e-05,0.00297377918178279
"14",14,73,"2017-10-15 13:43:03.261",36.76384141,-1.29768699,-0.001,0.001,0.003,15.9632542998,-0.103,0.102757482076,-0.0302724462277,0,-0.00645231843492529,3.40243398981588
"15",15,73,"2017-10-15 13:43:03.365",36.76384141,-1.29768699,0.002,-0.001,0.001,15.9632542998,0.105,-0.00124251792409,0.0737275537723,0,0.00657760617152578,1.42416226536258
"16",16,73,"2017-10-15 13:43:03.469",36.76384141,-1.29768699,0,0,-0.004,15.9632542998,0.105,-0.00124251792409,-0.342272446228,0,0.00657760617152578,-0.306773160262091
"17",17,73,"2017-10-15 13:43:03.573",36.76384141,-1.29768699,-0.002,0.001,0.002,15.9632542998,-0.103,0.102757482076,-0.134272446228,0,-0.00645231843492529,0.767097069380131
"18",18,73,"2017-10-15 13:43:03.676",36.76384141,-1.29768699,0.001,0,0.002,15.9632542998,-1.38777878078e-17,0.102757482076,0.0717275537723,0,-8.69358311730577e-19,-1.93479173315393e-16
"19",19,73,"2017-10-15 13:43:03.781",36.76384141,-1.29768699,0,-0.001,-0.003,15.9632542998,-1.38777878078e-17,-0.00224251792409,-0.243272446228,0,-8.69358311730577e-19,5.7046278865439e-17
"20",20,73,"2017-10-15 13:43:03.884",36.76384141,-1.29768699,-0.002,0.001,-0.001,15.9632542998,-0.206,0.100757482076,-0.346272446228,0,-0.0129046368698506,0.594907282528513
"21",21,73,"2017-10-15 13:43:03.988",36.76384141,-1.29768699,0,0,0.004,15.9632542998,-0.206,0.100757482076,0.0697275537723,0,-0.0129046368698506,-2.95435575830907
"22",23,73,"2017-10-15 13:43:04.091",36.76385069,-1.29768772,0.002,-0.001,0,1.04210756904,-2.77555756156e-17,-0.00224251792409,0.0697275537723,0,-2.66340792833591e-17,-3.98057498277334e-16
"23",24,73,"2017-10-15 13:43:04.196",36.76385069,-1.29768772,-0.002,0,-0.009,1.04210756904,-0.21,-0.00224251792409,-0.875272446228,0,-0.201514705620509,0.239925295152382
"24",25,73,"2017-10-15 13:43:04.300",36.76385069,-1.29768772,0,0,0.004,1.04210756904,-0.21,-0.00224251792409,-0.459272446228,0,-0.201514705620509,0.4572449353858
"25",26,73,"2017-10-15 13:43:04.403",36.76385069,-1.29768772,0,0,-0.004,1.04210756904,-0.21,-0.00224251792409,-0.871272446228,0,-0.201514705620509,0.241026788932845
"26",27,73,"2017-10-15 13:43:04.507",36.76385069,-1.29768772,0,0.001,0,1.04210756904,-0.21,0.101757482076,-0.871272446228,0,-0.201514705620509,0.241026788932845
"27",28,73,"2017-10-15 13:43:04.611",36.76385069,-1.29768772,0.003,0,0.004,1.04210756904,0.102,0.101757482076,-0.455272446228,0,0.0978785713013902,-0.224041671849648
"28",29,73,"2017-10-15 13:43:04.714",36.76385069,-1.29768772,-0.002,-0.003,-0.003,1.04210756904,-0.104,-0.207242517924,-0.764272446228,0,-0.0997977589739664,0.13607712866437
"29",30,73,"2017-10-15 13:43:04.818",36.76385069,-1.29768772,-0.001,0.002,0.004,1.04210756904,-0.208,0.000757482075906,-0.348272446228,0,-0.199595517947933,0.597233580355739
"30",31,73,"2017-10-15 13:43:04.922",36.76385069,-1.29768772,0,0.001,-0.002,1.04210756904,-0.208,0.104757482076,-0.556272446228,0,-0.199595517947933,0.373917495663172
"31",33,73,"2017-10-15 13:43:05.026",36.76385614,-1.29768575,0,0,-0.001,0.647479018118,-0.208,0.104757482076,-0.660272446228,0,-0.321245931033541,0.315021475132365
"32",34,73,"2017-10-15 13:43:05.129",36.76385614,-1.29768575,0.001,-0.002,0.005,0.647479018118,-0.105,-0.101242517924,-0.145272446228,0,-0.162167417108278,0.722779871381846
"33",35,73,"2017-10-15 13:43:05.234",36.76385614,-1.29768575,0,0.001,-0.008,0.647479018118,-0.105,0.00375748207591,-0.985272446228,0,-0.162167417108278,0.10656950816191
"34",36,73,"2017-10-15 13:43:05.338",36.76385614,-1.29768575,-0.001,0.002,0.007,0.647479018118,-0.209,0.211757482076,-0.257272446228,0,-0.322790382625049,0.812368378597294
