"","X.6","X.5","X.4","X.3","X.2","X.1","Date","Speed","Altitude","Pressure","X","Y","Z","G","Latitude","Longitude","Heading","Magnetic.Field","Sound.Level","Luminance","z.jolt","speedbump"
"1",1,1,1,1,1,1,"2017-09-10 10:44:31.036",0.94,54.792778,0,0.056671,-0.032822,-0.990891,0.993052,34.018975,-118.288903,41.897743,0,-120,0,0,"no"
"2",2,2,2,2,2,2,"2017-09-10 10:44:31.091",0.55,54.993523,0,0.056671,-0.032822,-0.990891,0.993052,34.018962,-118.288909,41.897743,0,-31.539499,0,0,"no"
"3",3,3,3,3,3,3,"2017-09-10 10:44:31.194",0.55,54.993523,0,0.064835,0.007797,-1.030807,1.032874,34.018962,-118.288909,41.897743,0,-33.802212,0,-0.0399160000000001,"no"
"4",4,4,4,4,4,4,"2017-09-10 10:44:31.294",0.55,54.993523,0,0.078796,0.028397,-1.008896,1.012367,34.018962,-118.288909,41.897743,0,-27.721136,0,0.021911,"no"
"5",5,5,5,5,5,5,"2017-09-10 10:44:31.394",0.55,54.993523,0,0.058334,-0.01561,-0.990509,0.992348,34.018962,-118.288909,41.897743,0,-30.329529,0,0.018387,"no"
"6",6,6,6,6,6,6,"2017-09-10 10:44:31.494",0.55,54.993523,0,0.075516,0.004745,-0.97821,0.981132,34.018962,-118.288909,41.897743,0,-33.316753,0,0.0122989999999999,"no"
"7",7,7,7,7,7,7,"2017-09-10 10:44:31.594",0.55,54.993523,0,0.056717,0.022415,-1.002472,1.004325,34.018962,-118.288909,41.897743,0,-30.128254,0,-0.024262,"no"
"8",8,8,8,8,8,8,"2017-09-10 10:44:31.695",0.55,54.993523,0,0.117401,0.025574,-1.017487,1.024556,34.018962,-118.288909,41.897743,0,-31.306458,0,-0.015015,"no"
"9",9,9,9,9,9,9,"2017-09-10 10:44:31.794",0.55,54.993523,0,0.099884,0.01857,-0.995087,1.00026,34.018962,-118.288909,41.897743,0,-32.398571,0,0.0224,"no"
"10",10,10,10,10,10,10,"2017-09-10 10:44:31.894",0.55,54.993523,0,0.118179,0.01474,-0.993744,1.000855,34.018962,-118.288909,41.897743,0,-29.127817,0,0.00134300000000009,"no"
"11",11,11,11,11,11,11,"2017-09-10 10:44:31.995",0.55,54.993523,0,0.137192,0.02034,-0.996078,1.005688,34.018962,-118.288909,41.897743,0,-31.38747,0,-0.00233400000000006,"no"
"12",12,12,12,12,12,12,"2017-09-10 10:44:32.092",0,55.228081,0,0.154785,0.035873,-0.992798,1.005432,34.018962,-118.288909,41.897743,0,-28.656736,0,0.00328000000000006,"no"
"13",13,13,13,13,13,13,"2017-09-10 10:44:32.192",0,55.228081,0,0.13237,0.024261,-0.988342,0.997462,34.018962,-118.288909,41.897743,0,-24.975296,0,0.0044559999999999,"no"
"14",14,14,14,14,14,14,"2017-09-10 10:44:32.294",0,55.228081,0,0.152252,-0.013168,-1.002472,1.014053,34.018962,-118.288909,41.897743,0,-24.436781,0,-0.01413,"no"
"15",15,15,15,15,15,15,"2017-09-10 10:44:32.394",0,55.228081,0,0.113358,0.007492,-0.987152,0.993668,34.018962,-118.288909,41.897743,0,-23.684629,0,0.01532,"no"
"16",16,16,16,16,16,16,"2017-09-10 10:44:32.496",0,55.228081,0,0.169952,0.00087,-1.008209,1.022434,34.018962,-118.288909,41.897743,0,-25.897381,0,-0.0210569999999999,"no"
"17",17,17,17,17,17,17,"2017-09-10 10:44:32.594",0,55.228081,0,0.117371,0.021774,-0.998642,1.005751,34.018962,-118.288909,41.897743,0,-26.765615,0,0.00956699999999988,"no"
"18",18,18,18,18,18,18,"2017-09-10 10:44:32.694",0,55.228081,0,0.148697,0.00708,-0.997482,1.00853,34.018962,-118.288909,41.897743,0,-23.684629,0,0.00116000000000005,"no"
"19",19,19,19,19,19,19,"2017-09-10 10:44:32.793",0,55.228081,0,0.153076,0.006454,-0.988327,1.000132,34.018962,-118.288909,41.897743,0,-25.187151,0,0.00915500000000002,"no"
"20",20,20,20,20,20,20,"2017-09-10 10:44:32.894",0,55.228081,0,0.171967,0.010864,-0.990707,1.00558,34.018962,-118.288909,41.897743,0,-26.808334,0,-0.00238000000000005,"no"
"21",21,21,21,21,21,21,"2017-09-10 10:44:32.995",0,55.228081,0,0.19281,0.003326,-0.984924,1.003625,34.018962,-118.288909,41.897743,0,-24.919165,0,0.00578299999999998,"no"
"22",22,22,22,22,22,22,"2017-09-10 10:44:33.094",0,55.228081,0,0.2285,0.012924,-0.979218,1.005607,34.018962,-118.288909,41.897743,0,-27.48868,0,0.00570599999999999,"no"
"23",23,23,23,23,23,23,"2017-09-10 10:44:33.194",0.94,54.740105,0,0.270721,0.005569,-0.978256,1.01504,34.018971,-118.288906,41.897743,0,-26.10836,0,0.000962000000000018,"no"
"24",24,24,24,24,24,24,"2017-09-10 10:44:33.294",0.94,54.740105,0,0.32489,0.00676,-0.973953,1.026735,34.018971,-118.288906,41.897743,0,-28.066908,0,0.00430300000000006,"no"
"25",25,25,25,25,25,25,"2017-09-10 10:44:33.395",0.94,54.740105,0,0.355591,-0.045746,-0.985916,1.04908,34.018971,-118.288906,42.914043,0,-28.085392,0,-0.0119630000000001,"no"
"26",26,26,26,26,26,26,"2017-09-10 10:44:33.493",0.94,54.740105,0,0.271759,-0.068878,-0.946945,0.987574,34.018971,-118.288906,42.914043,0,-26.366671,0,0.038971,"no"
"27",27,27,27,27,27,27,"2017-09-10 10:44:33.594",0.94,54.740105,0,0.274796,0.023895,-0.976578,1.014785,34.018971,-118.288906,42.914043,0,-26.726526,0,-0.0296329999999999,"no"
"28",28,28,28,28,28,28,"2017-09-10 10:44:33.694",0.94,54.740105,0,0.25563,0.038132,-1.015869,1.048232,34.018971,-118.288906,43.970173,0,-26.552282,0,-0.039291,"no"
"29",29,29,29,29,29,29,"2017-09-10 10:44:33.797",0.94,54.740105,0,0.252884,0.008881,-1.014633,1.04571,34.018971,-118.288906,43.970173,0,-24.879345,0,0.00123600000000001,"no"
"30",30,30,30,30,30,30,"2017-09-10 10:44:33.895",0.94,54.740105,0,0.276215,0.000961,-0.984207,1.022232,34.018971,-118.288906,45.001396,0,-27.698294,0,0.0304259999999998,"no"
"31",31,31,31,31,31,31,"2017-09-10 10:44:33.994",0.94,54.740105,0,0.274017,-0.018982,-0.977478,1.015337,34.018971,-118.288906,45.001396,0,-26.25226,0,0.0067290000000001,"no"
"32",32,32,32,32,32,32,"2017-09-10 10:44:34.091",0.94,54.740105,0,0.248505,0.026733,-0.974152,1.005704,34.018971,-118.288906,46.129704,0,-28.332603,0,0.00332599999999994,"no"
"33",33,33,33,33,33,33,"2017-09-10 10:44:34.194",1.75,54.024284,0,0.234589,-0.028076,-1.030472,1.05721,34.018981,-118.288914,46.129704,0,-28.649635,0,-0.05632,"no"
"34",34,34,34,34,34,34,"2017-09-10 10:44:34.294",1.75,54.024284,0,0.238358,-0.0177,-0.94429,0.97407,34.018981,-118.288914,47.13443,0,-27.092268,0,0.0861820000000001,"no"
"35",35,35,35,35,35,35,"2017-09-10 10:44:34.394",1.75,54.024284,0,0.217438,-0.024185,-1.036011,1.058859,34.018981,-118.288914,47.13443,0,-26.485804,0,-0.0917210000000001,"no"
"36",36,36,36,36,36,36,"2017-09-10 10:44:34.494",1.75,54.024284,0,0.17131,-0.041153,-1.050385,1.065058,34.018981,-118.288914,48.182961,0,-29.443983,0,-0.0143739999999999,"no"
"37",37,37,37,37,37,37,"2017-09-10 10:44:34.594",1.75,54.024284,0,0.231323,-0.005219,-0.960434,0.987912,34.018981,-118.288914,48.182961,0,-31.361322,0,0.0899509999999999,"no"
"38",38,38,38,38,38,38,"2017-09-10 10:44:34.694",1.75,54.024284,0,0.235794,0.103088,-0.976883,1.010211,34.018981,-118.288914,49.221653,0,-27.897945,0,-0.0164489999999999,"no"
"39",39,39,39,39,39,39,"2017-09-10 10:44:34.794",1.75,54.024284,0,0.160645,0.011108,-0.999313,1.012204,34.018981,-118.288914,49.221653,0,-28.51531,0,-0.0224300000000001,"no"
"40",40,40,40,40,40,40,"2017-09-10 10:44:34.894",1.75,54.024284,0,0.209824,-0.029556,-0.988205,1.010667,34.018981,-118.288914,50.242924,0,-29.312069,0,0.011108,"no"
"41",41,41,41,41,41,41,"2017-09-10 10:44:34.994",1.75,54.024284,0,0.194763,0.010437,-0.968857,0.988294,34.018981,-118.288914,50.242924,0,-31.275637,0,0.019348,"no"
"42",42,42,42,42,42,42,"2017-09-10 10:44:35.098",1.75,54.024284,0,0.194534,0.035461,-1.014114,1.033213,34.018981,-118.288914,50.242924,0,-26.436113,0,-0.045257,"no"
"43",43,43,43,43,43,43,"2017-09-10 10:44:35.192",3.58,54.177849,0,0.176208,0.02153,-1.022141,1.037441,34.019006,-118.288933,50.242924,0,-28.458385,0,-0.00802700000000001,"no"
"44",44,44,44,44,44,44,"2017-09-10 10:44:35.294",3.58,54.177849,0,0.092331,0.07814,-0.892441,0.900601,34.019006,-118.288933,50.242924,0,-23.925402,0,0.1297,"no"
"45",45,45,45,45,45,45,"2017-09-10 10:44:35.394",3.58,54.177849,0,0.15773,0.036819,-0.994614,1.007716,34.019006,-118.288933,50.242924,0,-26.608978,0,-0.102173,"no"
"46",46,46,46,46,46,46,"2017-09-10 10:44:35.494",3.58,54.177849,0,0.225403,0.000397,-1.050262,1.074178,34.019006,-118.288933,50.242924,0,-28.293879,0,-0.055648,"no"
"47",47,47,47,47,47,47,"2017-09-10 10:44:35.594",3.58,54.177849,0,0.182007,0.047775,-1.014023,1.031335,34.019006,-118.288933,50.242924,0,-30.889145,0,0.0362390000000001,"no"
"48",48,48,48,48,48,48,"2017-09-10 10:44:35.691",3.58,54.177849,0,0.220215,0.001968,-0.941177,0.966599,34.019006,-118.288933,50.242924,0,-29.856394,0,0.0728459999999999,"no"
"49",49,49,49,49,49,49,"2017-09-10 10:44:35.794",3.58,54.177849,0,0.166794,0.064621,-1.030746,1.046152,34.019006,-118.288933,50.242924,0,-25.534374,0,-0.0895689999999999,"no"
"50",50,50,50,50,50,50,"2017-09-10 10:44:35.894",3.58,54.177849,0,0.264679,-0.068924,-0.869476,0.911479,34.019006,-118.288933,50.242924,0,-23.20923,0,0.16127,"no"
"51",51,51,51,51,51,51,"2017-09-10 10:44:35.993",3.58,54.177849,0,0.100891,-0.01355,-0.91893,0.924551,34.019006,-118.288933,50.242924,0,-26.62031,0,-0.049454,"no"
"52",52,52,52,52,52,52,"2017-09-10 10:44:36.092",4.53,54.535942,0,0.179855,0.066376,-0.980957,0.999515,34.019026,-118.288973,50.242924,0,-27.094536,0,-0.0620269999999999,"no"
"53",53,53,53,53,53,53,"2017-09-10 10:44:36.194",4.53,54.535942,0,0.225388,0.03508,-1.07428,1.098229,34.019026,-118.288973,50.242924,0,-29.032862,0,-0.0933229999999999,"no"
"54",54,54,54,54,54,54,"2017-09-10 10:44:36.294",4.53,54.535942,0,0.142792,0.00177,-1.10463,1.113822,34.019026,-118.288973,50.242924,0,-26.818316,0,-0.0303500000000001,"no"
"55",55,55,55,55,55,55,"2017-09-10 10:44:36.398",4.53,54.535942,0,0.18277,-0.061005,-0.911194,0.931343,34.019026,-118.288973,50.242924,0,-25.369797,0,0.193436,"no"
"56",56,56,56,56,56,56,"2017-09-10 10:44:36.494",4.53,54.535942,0,0.190689,0.052734,-0.886566,0.908374,34.019026,-118.288973,50.242924,0,-26.37413,0,0.024628,"no"
"57",57,57,57,57,57,57,"2017-09-10 10:44:36.593",4.53,54.535942,0,0.193619,0.097198,-1.02948,1.052029,34.019026,-118.288973,50.242924,0,-26.172283,0,-0.142914,"no"
"58",58,58,58,58,58,58,"2017-09-10 10:44:36.694",4.53,54.535942,0,0.21254,-0.039139,-1.058746,1.080578,34.019026,-118.288973,50.242924,0,-28.866198,0,-0.029266,"no"
"59",59,59,59,59,59,59,"2017-09-10 10:44:36.794",4.53,54.535942,0,0.153076,-0.051956,-0.952362,0.965984,34.019026,-118.288973,50.242924,0,-31.027929,0,0.106384,"no"
"60",60,60,60,60,60,60,"2017-09-10 10:44:36.894",4.53,54.535942,0,0.189911,-0.062866,-0.973984,0.994315,34.019026,-118.288973,50.242924,0,-32.600368,0,-0.0216219999999999,"no"
"61",61,61,61,61,61,61,"2017-09-10 10:44:36.995",4.53,54.535942,0,0.200394,0.035385,-1.026047,1.046031,34.019026,-118.288973,50.242924,0,-29.354328,0,-0.052063,"no"
"62",62,62,62,62,62,62,"2017-09-10 10:44:37.092",4.53,54.535942,0,0.07724,0.294647,-0.947586,0.99534,34.019026,-118.288973,50.242924,0,-24.311018,0,0.0784609999999999,"no"
"63",63,63,63,63,63,63,"2017-09-10 10:44:37.192",6.1,53.611382,0,0.188934,-0.157806,-0.776779,0.814853,34.01905,-118.289043,50.242924,0,-24.865162,0,0.170807,"no"
"64",64,64,64,64,64,64,"2017-09-10 10:44:37.294",6.1,53.611382,0,0.114731,0.037506,-0.935318,0.943075,34.01905,-118.289043,50.242924,0,-27.138062,0,-0.158539,"no"
"65",65,65,65,65,65,65,"2017-09-10 10:44:37.394",6.1,53.611382,0,0.300171,0.049011,-1.160141,1.199346,34.01905,-118.289043,50.242924,0,-30.279625,0,-0.224823,"no"
"66",66,66,66,66,66,66,"2017-09-10 10:44:37.494",6.1,53.611382,0,0.320282,0.120865,-1.016907,1.072981,34.01905,-118.289043,50.242924,0,-25.799141,0,0.143234,"no"
"67",67,67,67,67,67,67,"2017-09-10 10:44:37.594",6.1,53.611382,0,0.341019,-0.007736,-0.925171,0.98605,34.01905,-118.289043,50.242924,0,-22.426502,0,0.091736,"no"
"68",68,68,68,68,68,68,"2017-09-10 10:44:37.695",6.1,53.611382,0,0.121643,0.134628,-1.145523,1.159804,34.01905,-118.289043,50.242924,0,-21.07111,0,-0.220352,"no"
"69",69,69,69,69,69,69,"2017-09-10 10:44:37.794",6.1,53.611382,0,0.307236,-0.039246,-0.915466,0.966443,34.01905,-118.289043,50.242924,0,-23.827791,0,0.230057,"no"
"70",70,70,70,70,70,70,"2017-09-10 10:44:37.894",6.1,53.611382,0,0.023804,0.010223,-0.988968,0.989307,34.01905,-118.289043,50.242924,0,-26.252638,0,-0.073502,"no"
"71",71,71,71,71,71,71,"2017-09-10 10:44:37.991",6.1,53.611382,0,0.195648,0.084961,-0.946152,0.969897,34.01905,-118.289043,50.242924,0,-26.692282,0,0.042816,"no"
"72",72,72,72,72,72,72,"2017-09-10 10:44:38.091",6.79,54.477592,0,0.139267,0.081039,-1.000183,1.013079,34.019078,-118.28911,50.242924,0,-26.270218,0,-0.0540310000000001,"no"
"73",73,73,73,73,73,73,"2017-09-10 10:44:38.191",6.79,54.477592,0,0.126968,-0.020416,-1.136475,1.143727,34.019078,-118.28911,50.242924,0,-29.208187,0,-0.136292,"no"
"74",74,74,74,74,74,74,"2017-09-10 10:44:38.294",6.79,54.477592,0,0.076645,0.011871,-1.131912,1.134566,34.019078,-118.28911,50.242924,0,-27.325827,0,0.00456299999999987,"no"
"75",75,75,75,75,75,75,"2017-09-10 10:44:38.395",6.79,54.477592,0,0.152878,0.150436,-0.731232,0.762038,34.019078,-118.28911,50.242924,0,-24.103004,0,0.40068,"no"
"76",76,76,76,76,76,76,"2017-09-10 10:44:38.495",6.79,54.477592,0,0.109024,-0.008499,-0.821259,0.828507,34.019078,-118.28911,50.242924,0,-26.474401,0,-0.090027,"no"
"77",77,77,77,77,77,77,"2017-09-10 10:44:38.595",6.79,54.477592,0,0.255417,-0.086746,-0.964996,1.001988,34.019078,-118.28911,50.242924,0,-24.85232,0,-0.143737,"no"
"78",78,78,78,78,78,78,"2017-09-10 10:44:38.694",6.79,54.477592,0,-0.050003,0.021286,-1.0746,1.075974,34.019078,-118.28911,50.242924,0,-22.725208,0,-0.109604,"no"
"79",79,79,79,79,79,79,"2017-09-10 10:44:38.795",6.79,54.477592,0,0.183594,-0.009109,-1.003479,1.020176,34.019078,-118.28911,50.242924,0,-22.772104,0,0.071121,"no"
"80",80,80,80,80,80,80,"2017-09-10 10:44:38.894",6.79,54.477592,0,0.041016,0.083923,-1.065781,1.069866,34.019078,-118.28911,50.242924,0,-24.6828,0,-0.0623020000000001,"no"
"81",81,81,81,81,81,81,"2017-09-10 10:44:38.995",6.79,54.477592,0,0.206757,-0.005966,-1.057816,1.077849,34.019078,-118.28911,50.242924,0,-24.639347,0,0.007965,"no"
"82",82,82,82,82,82,82,"2017-09-10 10:44:39.091",7.48,54.705009,0,0.066223,0.038666,-0.860565,0.863975,34.019116,-118.289178,50.242924,0,-28.074081,0,0.197251,"no"
"83",83,83,83,83,83,83,"2017-09-10 10:44:39.195",7.48,54.705009,0,0.212311,-0.050674,-1.043442,1.066027,34.019116,-118.289178,50.242924,0,-26.672255,0,-0.182877,"no"
"84",84,84,84,84,84,84,"2017-09-10 10:44:39.295",7.48,54.705009,0,0.077179,0.100327,-0.954544,0.9629,34.019116,-118.289178,50.242924,0,-25.762016,0,0.088898,"no"
"85",85,85,85,85,85,85,"2017-09-10 10:44:39.395",7.48,54.705009,0,0.184082,-0.013351,-0.989273,1.006343,34.019116,-118.289178,50.242924,0,-22.039452,0,-0.034729,"no"
"86",86,86,86,86,86,86,"2017-09-10 10:44:39.495",7.48,54.705009,0,0.057129,-0.036438,-1.205002,1.206905,34.019116,-118.289178,50.242924,0,-11.931789,0,-0.215729,"no"
"87",87,87,87,87,87,87,"2017-09-10 10:44:39.595",7.48,54.705009,0,-0.6035,0.1185,-1.468521,1.592108,34.019116,-118.289178,50.242924,0,-5.891445,0,-0.263519,"no"
"88",88,88,88,88,88,88,"2017-09-10 10:44:39.695",7.48,54.705009,0,0.094788,-0.650833,-0.523117,0.840369,34.019116,-118.289178,50.242924,0,-10.34341,0,0.945404,"yes"
"89",89,89,89,89,89,89,"2017-09-10 10:44:39.795",7.48,54.705009,0,-0.035156,-0.015427,-0.383942,0.385856,34.019116,-118.289178,50.242924,0,-4.296464,0,0.139175,"no"
"90",90,90,90,90,90,90,"2017-09-10 10:44:39.894",7.48,54.705009,0,-0.780762,0.148438,-1.205933,1.444263,34.019116,-118.289178,50.827457,0,-6.691721,0,-0.821991,"yes"
"91",91,91,91,91,91,91,"2017-09-10 10:44:39.995",7.48,54.705009,0,0.246933,-0.174515,-0.987259,1.032527,34.019116,-118.289178,50.827457,0,-9.460128,0,0.218674,"no"
"92",92,92,92,92,92,92,"2017-09-10 10:44:40.092",7.48,54.705009,0,0.274338,0.002136,-1.078537,1.112883,34.019116,-118.289178,50.827457,0,-12.439279,0,-0.0912780000000001,"no"
