"","X","Batch.id","time","Longitude","Latitude","x","y","z","speedbump","x_jolt","y_jolt","z_jolt"
"1",0,20,"2017-09-25 16:51:25+00:00",36.76374199,-1.2976824,0.052,0.006,0.004,0,0,0,0
"2",1,20,"2017-09-25 16:51:25+00:00",36.76374199,-1.2976824,0.06,0.003,0.002,0,0.008,-0.003,-0.002
"3",2,20,"2017-09-25 16:51:25+00:00",36.76374199,-1.2976824,0.054,0.001,0.003,0,-0.006,-0.002,0.001
"4",3,20,"2017-09-25 16:51:25+00:00",36.76374199,-1.2976824,0.053,0,0.003,0,-0.001,-0.001,0
"5",4,20,"2017-09-25 16:51:25+00:00",36.76374199,-1.2976824,0.056,0,0.004,0,0.003,0,0.001
"6",5,20,"2017-09-25 16:51:25+00:00",36.76374199,-1.2976824,0.056,0,0.005,0,0,0,0.001
"7",6,20,"2017-09-25 16:51:26+00:00",36.76374142,-1.29768259,0.056,0,0.005,0,0,0,0
"8",7,20,"2017-09-25 16:51:26+00:00",36.76374142,-1.29768259,0.053,0.001,0.004,0,-0.003,0.001,-0.001
"9",8,20,"2017-09-25 16:51:26+00:00",36.76374142,-1.29768259,0.055,0.001,0.001,0,0.002,0,-0.003
"10",9,20,"2017-09-25 16:51:26+00:00",36.76374142,-1.29768259,0.056,0.002,0.003,0,0.001,0.001,0.002
"11",10,20,"2017-09-25 16:51:26+00:00",36.76374142,-1.29768259,0.054,0.003,0.003,0,-0.002,0.001,0
"12",11,20,"2017-09-25 16:51:26+00:00",36.76374142,-1.29768259,0.054,0.002,0.002,0,0,-0.001,-0.001
"13",12,20,"2017-09-25 16:51:26+00:00",36.76374142,-1.29768259,0.054,0.001,0.001,0,0,-0.001,-0.001
"14",13,20,"2017-09-25 16:51:27+00:00",36.76374123,-1.29768186,0.054,0.001,0.001,0,0,0,0
"15",14,20,"2017-09-25 16:51:27+00:00",36.76374123,-1.29768186,0.057,0.002,0.005,0,0.003,0.001,0.004
"16",15,20,"2017-09-25 16:51:27+00:00",36.76374123,-1.29768186,0.054,0.002,0.003,0,-0.003,0,-0.002
"17",16,20,"2017-09-25 16:51:27+00:00",36.76374123,-1.29768186,0.056,0.001,0.006,0,0.002,-0.001,0.003
"18",17,20,"2017-09-25 16:51:27+00:00",36.76374123,-1.29768186,0.054,0,0.005,0,-0.002,-0.001,-0.001
"19",18,20,"2017-09-25 16:51:27+00:00",36.76374123,-1.29768186,0.056,0.001,0.003,0,0.002,0.001,-0.002
"20",19,20,"2017-09-25 16:51:28+00:00",36.7637401,-1.29768226,0.056,0.001,0.003,0,0,0,0
"21",20,20,"2017-09-25 16:51:28+00:00",36.7637401,-1.29768226,0.054,0.001,0.001,0,-0.002,0,-0.002
"22",21,20,"2017-09-25 16:51:28+00:00",36.7637401,-1.29768226,0.053,0.001,0.003,0,-0.001,0,0.002
"23",22,20,"2017-09-25 16:51:28+00:00",36.7637401,-1.29768226,0.054,0.001,0.003,0,0.001,0,0
"24",23,20,"2017-09-25 16:51:28+00:00",36.7637401,-1.29768226,0.054,0.002,0.001,0,0,0.001,-0.002
"25",24,20,"2017-09-25 16:51:28+00:00",36.7637401,-1.29768226,0.054,0.002,0.001,0,0,0,0
"26",25,20,"2017-09-25 16:51:28+00:00",36.7637401,-1.29768226,0.055,0.001,0.004,0,0.001,-0.001,0.003
"27",26,20,"2017-09-25 16:51:29+00:00",36.76373987,-1.29768328,0.055,0.001,0.004,0,0,0,0
"28",27,20,"2017-09-25 16:51:29+00:00",36.76373987,-1.29768328,0.055,0,0.005,0,0,-0.001,0.001
"29",28,20,"2017-09-25 16:51:29+00:00",36.76373987,-1.29768328,0.056,0.001,0.009,0,0.001,0.001,0.004
