,Date,Speed,Altitude,Pressure,X,Y,Z,G,Latitude,Longitude,Heading,Magnetic.Field,Sound.Level,Luminance,z_jolt,speedbump
1,44:31.0,0.94,54.792778,0,0.056671,-0.032822,-0.990891,0.993052,34.018975,-118.288903,41.897743,0,-120,0,0,no
2,44:31.1,0.55,54.993523,0,0.056671,-0.032822,-0.990891,0.993052,34.018962,-118.288909,41.897743,0,-31.539499,0,0,no
3,44:31.2,0.55,54.993523,0,0.064835,0.007797,-1.030807,1.032874,34.018962,-118.288909,41.897743,0,-33.802212,0,-0.039916,no
4,44:31.3,0.55,54.993523,0,0.078796,0.028397,-1.008896,1.012367,34.018962,-118.288909,41.897743,0,-27.721136,0,0.021911,no
5,44:31.4,0.55,54.993523,0,0.058334,-0.01561,-0.990509,0.992348,34.018962,-118.288909,41.897743,0,-30.329529,0,0.018387,no
6,44:31.5,0.55,54.993523,0,0.075516,0.004745,-0.97821,0.981132,34.018962,-118.288909,41.897743,0,-33.316753,0,0.012299,no
7,44:31.6,0.55,54.993523,0,0.056717,0.022415,-1.002472,1.004325,34.018962,-118.288909,41.897743,0,-30.128254,0,-0.024262,no
8,44:31.7,0.55,54.993523,0,0.117401,0.025574,-1.017487,1.024556,34.018962,-118.288909,41.897743,0,-31.306458,0,-0.015015,no
9,44:31.8,0.55,54.993523,0,0.099884,0.01857,-0.995087,1.00026,34.018962,-118.288909,41.897743,0,-32.398571,0,0.0224,no
10,44:31.9,0.55,54.993523,0,0.118179,0.01474,-0.993744,1.000855,34.018962,-118.288909,41.897743,0,-29.127817,0,0.001343,no
11,44:32.0,0.55,54.993523,0,0.137192,0.02034,-0.996078,1.005688,34.018962,-118.288909,41.897743,0,-31.38747,0,-0.002334,no
12,44:32.1,0,55.228081,0,0.154785,0.035873,-0.992798,1.005432,34.018962,-118.288909,41.897743,0,-28.656736,0,0.00328,no
13,44:32.2,0,55.228081,0,0.13237,0.024261,-0.988342,0.997462,34.018962,-118.288909,41.897743,0,-24.975296,0,0.004456,no
14,44:32.3,0,55.228081,0,0.152252,-0.013168,-1.002472,1.014053,34.018962,-118.288909,41.897743,0,-24.436781,0,-0.01413,no
15,44:32.4,0,55.228081,0,0.113358,0.007492,-0.987152,0.993668,34.018962,-118.288909,41.897743,0,-23.684629,0,0.01532,no
16,44:32.5,0,55.228081,0,0.169952,0.00087,-1.008209,1.022434,34.018962,-118.288909,41.897743,0,-25.897381,0,-0.021057,no
17,44:32.6,0,55.228081,0,0.117371,0.021774,-0.998642,1.005751,34.018962,-118.288909,41.897743,0,-26.765615,0,0.009567,no
18,44:32.7,0,55.228081,0,0.148697,0.00708,-0.997482,1.00853,34.018962,-118.288909,41.897743,0,-23.684629,0,0.00116,no
19,44:32.8,0,55.228081,0,0.153076,0.006454,-0.988327,1.000132,34.018962,-118.288909,41.897743,0,-25.187151,0,0.009155,no
20,44:32.9,0,55.228081,0,0.171967,0.010864,-0.990707,1.00558,34.018962,-118.288909,41.897743,0,-26.808334,0,-0.00238,no
21,44:33.0,0,55.228081,0,0.19281,0.003326,-0.984924,1.003625,34.018962,-118.288909,41.897743,0,-24.919165,0,0.005783,no
22,44:33.1,0,55.228081,0,0.2285,0.012924,-0.979218,1.005607,34.018962,-118.288909,41.897743,0,-27.48868,0,0.005706,no
23,44:33.2,0.94,54.740105,0,0.270721,0.005569,-0.978256,1.01504,34.018971,-118.288906,41.897743,0,-26.10836,0,0.000962,no
