longitude,latitude,X,Y,Z,speedbump,pothole
-118.291042,34.021273,0.003187,-0.002928,-0.098324,0,0
-118.291197,34.021653,0.000216,0.001151,-0.002815,0,0
-118.291794,34.022363,-0.000566,-0.000543,0.001055,0,0
-118.291794,34.022363,0.002255,-0.000224,-0.002328,0,0
-118.291794,34.022363,-0.003797,0.001995,0.003081,0,0
-118.291713,34.022207,0.001735,-0.001226,-0.002441,0,0
-118.291713,34.022207,0.000233,0.00185,0.000271,0,0
-118.291713,34.022207,0.000341,0.001295,-0.000538,0,0
-118.291713,34.022207,-0.001735,-0.002057,-0.000017,0,0
-118.291713,34.022207,0.002217,0.000067,0.001824,0,0
-118.291713,34.022207,-0.002432,0.000702,-0.001158,0,0
-118.291713,34.022207,0.003202,-0.001363,-0.000534,0,0
-118.291713,34.022207,-0.000969,-0.001698,0.004288,0,0
-118.291713,34.022207,-0.000199,-0.016893,-0.003087,0,0
-118.291713,34.022207,0.003162,-0.009742,0.002407,0,0
-118.291713,34.022207,-0.002841,-0.004232,-0.001127,0,0
-118.291713,34.022207,0.001637,0.00126,-0.003162,0,0
-118.291713,34.022207,0.001848,0.004448,0.005273,0,0
-118.291713,34.022207,0.004046,0.003179,0.000548,0,0
-118.291713,34.022207,-0.000473,-0.001505,-0.002622,0,0
-118.291713,34.022207,0.006686,0.006023,0.004974,0,0
-118.291713,34.022207,0.005625,-0.001909,-0.008603,0,0
-118.291453,34.022124,0.007655,0.010823,0.005998,0,0
-118.291453,34.022124,0.011435,0.016591,0.000009,0,0
-118.291453,34.022124,-0.004293,-0.005004,-0.008545,0,0
-118.291453,34.022124,0.012476,0.008051,0.010459,0,0
-118.291547,34.022034,-0.015499,0.012207,0.001388,0,0
-118.291547,34.022034,-0.009004,-0.000513,-0.007195,0,0
-118.291547,34.022034,-0.017192,0.004606,-0.001671,0,0
-118.291547,34.022034,-0.000601,-0.003552,0.003779,0,0
-118.291457,34.021951,-0.001862,0.004403,-0.001305,0,0
-118.291457,34.021951,-0.00597,0.006003,0.002262,0,0
-118.291457,34.021951,0.003632,-0.002684,-0.005675,0,0
-118.291457,34.021951,-0.012163,0.000468,0.001265,0,0
-118.291423,34.021918,0.018208,0.002264,-0.004932,0,0
-118.291423,34.021918,-0.020599,-0.006856,0.012024,0,0
-118.291423,34.021918,0.010607,-0.022151,-0.003493,0,0
-118.291423,34.021918,0.005941,0.006372,-0.006834,0,0
-118.291369,34.021907,-0.002838,-0.009071,0.008282,0,0
-118.291369,34.021907,0.010803,-0.013079,-0.009039,0,0
-118.291369,34.021907,-0.016134,-0.003222,0.002858,0,0
-118.291369,34.021907,0.00904,-0.001399,0.003845,0,0
-118.291341,34.021906,-0.002689,0.000275,-0.001153,0,0
-118.291341,34.021906,0.0023,0.001158,0.005661,0,0
-118.291325,34.021895,-0.000131,-0.00003,-0.00515,0,0
-118.291325,34.021895,0.008262,0.008086,-0.00534,0,0
-118.291325,34.021895,-0.013039,0.000036,0.003051,0,0
-118.291325,34.021895,0.008005,0.0012,0.000969,0,0
-118.291293,34.021881,-0.022982,-0.009705,-0.006739,0,0
-118.291293,34.021881,0.023246,0.008751,0.016048,0,0
