longitude,latitude,X,Y,Z,speedbump,pothole
-118.288908,34.018488,0.001042,0.001251,-0.107405,0,0
-118.28885,34.01849,0.013532,0.004853,0.006163,0,0
-118.28885,34.01849,-0.016761,-0.007886,-0.001052,0,0
-118.28885,34.01849,0.023324,0.00527,0.00192,0,0
-118.28885,34.01849,-0.021451,-0.012379,0.003143,0,0
-118.288841,34.018517,0.007249,-0.004876,-0.00773,0,0
-118.288841,34.018517,0.011597,0.004162,0.011029,0,0
-118.288841,34.018517,-0.014225,-0.00242,-0.005125,0,0
-118.288841,34.018517,0.011289,-0.007864,-0.00236,0,0
-118.288822,34.018543,0.002598,0.003462,0.010011,0,0
-118.288822,34.018543,-0.02788,0.014057,0.002113,0,0
-118.288822,34.018543,0.008506,0.001318,-0.00543,0,0
-118.288822,34.018543,0.004746,0.004705,-0.007409,0,0
-118.288845,34.018593,0.003515,0.005584,0.002242,0,0
-118.288845,34.018593,-0.001355,0.000454,0.00181,0,0
-118.288845,34.018593,-0.003451,-0.003426,-0.006149,0,0
-118.288845,34.018593,-0.005587,-0.003286,0.00003,0,0
-118.288822,34.018632,0.00794,0.006435,0.004956,0,0
-118.288822,34.018632,0.000979,-0.004192,-0.006703,0,0
-118.288822,34.018632,-0.003022,-0.003191,0.005027,0,0
-118.288822,34.018632,0.011312,-0.001103,-0.00429,0,0
-118.288802,34.018667,-0.01609,0.004585,0.004844,0,0
-118.288802,34.018667,0.010235,0.004352,-0.003778,0,0
-118.288802,34.018667,-0.01022,-0.00726,0.007518,0,0
-118.288802,34.018667,0.008657,0.001343,-0.00775,0,0
-118.288783,34.018699,0.005664,0.006667,0.00435,0,0
-118.288783,34.018699,-0.012885,0.003512,0.002407,0,0
-118.288783,34.018699,0.011399,-0.002314,-0.013562,0,0
-118.288783,34.018699,-0.01181,-0.019974,0.020903,1,0
-118.288767,34.018726,0.012666,0.017852,-0.014156,0,0
-118.288767,34.018726,-0.007887,-0.003904,-0.003462,0,0
-118.288767,34.018726,0.017162,-0.002588,0.007595,0,0
-118.288767,34.018726,-0.020531,0.011632,0.017458,0,0
-118.288754,34.018748,0.028337,-0.029465,-0.036956,0,0
-118.288754,34.018748,-0.023059,0.005062,0.025376,0,0
-118.288754,34.018748,0.008626,-0.01269,-0.000406,0,0
-118.288754,34.018748,0.005206,-0.005043,-0.010134,0,0
-118.288741,34.01877,0.000448,0.00319,0.010761,0,0
-118.288741,34.01877,-0.002177,0.010115,-0.007909,0,0
-118.288741,34.01877,-0.00072,0.013576,0.007742,0,0
-118.288741,34.01877,0.000776,-0.001061,-0.010056,0,0
-118.288727,34.018793,-0.003842,0.00754,0.003194,0,0
-118.288727,34.018793,0.001523,0.005404,0.005062,0,0
-118.288727,34.018793,-0.006355,-0.00998,-0.011306,0,0
-118.288727,34.018793,-0.003657,0.005216,0.009765,0,0
-118.288723,34.018807,0.010535,-0.023339,-0.009199,0,0
-118.288723,34.018807,-0.006426,-0.005085,-0.00051,0,0
-118.288723,34.018807,0.013219,0.005233,0.004025,0,0
-118.288723,34.018807,0.007705,0.001654,0.008192,0,0
-118.288726,34.018812,-0.009074,0.001355,-0.01277,0,0
-118.288726,34.018812,0.01146,0.0133,0.009827,0,0
-118.288726,34.018812,-0.006642,-0.002127,0.000361,0,0
-118.288726,34.018812,-0.002788,0.000568,0.001365,0,0
-118.288801,34.018942,-0.013151,0.006843,0.003797,0,0
-118.288801,34.018942,-0.00443,0.000473,-0.011648,0,0
-118.288801,34.018942,-0.001819,-0.002644,0.002986,0,0
-118.288801,34.018942,0.008984,0.001666,-0.001937,0,0
-118.288866,34.01897,0.00701,0.004318,0.005471,0,0
-118.288866,34.01897,0.00161,0.004767,-0.00157,0,0
-118.288866,34.01897,-0.021967,-0.001808,0.00145,0,0
-118.288866,34.01897,0.000405,-0.000107,-0.002563,0,0
-118.288933,34.018997,0.005527,0.002756,-0.000952,0,0
-118.288933,34.018997,0.001828,-0.008328,-0.000146,0,0
-118.288933,34.018997,0.001876,0.001996,-0.002837,0,0
-118.288933,34.018997,-0.01164,-0.000414,0.005326,0,0
-118.288996,34.019024,0.008573,-0.000146,-0.003051,0,0
-118.288996,34.019024,-0.007185,-0.000355,0.000997,0,0
-118.288996,34.019024,0.011645,0.002812,0.000092,0,0
-118.288996,34.019024,-0.007937,-0.002155,0.001022,0,0
-118.289045,34.019044,-0.000422,0.002297,-0.00078,0,0
-118.289045,34.019044,0.000347,0.001055,-0.002012,0,0
-118.289045,34.019044,-0.001516,-0.002476,0.002801,0,0
-118.289045,34.019044,0.001288,0.000087,-0.001965,0,0
-118.289092,34.019064,0.005754,-0.001248,0.00426,0,0
-118.289092,34.019064,-0.006501,-0.001396,-0.004035,0,0
-118.289092,34.019064,0.002318,-0.002916,-0.000173,0,0
-118.289092,34.019064,0.012115,-0.003244,0.007696,0,0
-118.289131,34.01908,-0.013724,0.006529,0.000075,0,0
-118.289131,34.01908,-0.001766,0.009566,-0.010174,0,0
-118.289131,34.01908,-0.00087,0.000191,0.00951,0,0
-118.289131,34.01908,0.012535,-0.00152,0.000436,0,0
-118.289165,34.019095,-0.008517,-0.013879,-0.010048,0,0
-118.289165,34.019095,0.008257,0.001996,0.006314,0,0
-118.289165,34.019095,-0.010683,-0.000538,-0.002698,0,0
-118.289165,34.019095,0.002149,0.002919,-0.001989,0,0
-118.289188,34.019104,0.000429,0.02144,0.003958,0,0
-118.289188,34.019104,-0.00047,0.001775,-0.002392,0,0
-118.289188,34.019104,0.002239,-0.004318,0.000496,0,0
-118.289188,34.019104,-0.005396,-0.006523,0.00152,0,0
-118.289197,34.019108,0.003893,-0.003496,-0.00216,0,0
-118.289197,34.019108,-0.002149,-0.004475,0.00016,0,0
-118.289197,34.019108,-0.000647,-0.01023,0.000251,0,0
-118.289197,34.019108,0.002608,0.002217,0.000226,0,0
-118.289196,34.019108,-0.001993,0.000716,0.000944,0,0
-118.289196,34.019108,0.000991,0.000201,-0.000873,0,0
-118.289196,34.019108,0.000218,-0.000758,0.000545,0,0
-118.289196,34.019108,0.000297,0.000825,-0.000249,0,0
-118.289193,34.019107,-0.000742,-0.001945,-0.000478,0,0
-118.289193,34.019107,0.000823,0.001847,-0.000059,0,0
-118.289193,34.019107,-0.000997,0.000059,0.00153,0,0
-118.289193,34.019107,0.000006,-0.000853,-0.001366,0,0
-118.289195,34.019107,0.000632,0.000316,-0.000016,0,0
-118.289195,34.019107,-0.000979,-0.000515,-0.000081,0,0
-118.289195,34.019107,0.002094,0.000582,0.000037,0,0
-118.289195,34.019107,-0.002826,-0.0003,0.000468,0,0
-118.289196,34.019108,0.00335,0.000059,-0.00119,0,0
-118.289196,34.019108,0.000252,-0.005461,-0.002267,0,0
-118.289196,34.019108,-0.003826,0.002071,0.003686,0,0
-118.289196,34.019108,0.002813,-0.003369,-0.001813,0,0
-118.289196,34.019108,-0.002155,-0.001581,0.002378,0,0
-118.289196,34.019108,0.001256,-0.005133,-0.002104,0,0
-118.289196,34.019108,-0.001617,-0.000075,-0.00019,0,0
-118.289196,34.019108,-0.000948,0.001114,0.001211,0,0
-118.289197,34.019108,0.000117,-0.001964,0.000115,0,0
-118.289197,34.019108,0.001788,0.004808,-0.002852,0,0
-118.289197,34.019108,-0.00288,-0.007125,-0.000317,0,0
-118.289197,34.019108,0.001766,-0.005629,0.028247,0,0
-118.289199,34.019109,0.003646,0.029825,-0.069457,0,0
-118.289199,34.019109,-0.009754,-0.015888,0.060465,1,0
-118.289199,34.019109,0.014414,0.010408,-0.040866,0,0
-118.289199,34.019109,-0.025217,0.010834,0.057292,0,0
-118.289212,34.019114,0.029739,-0.032065,-0.064373,0,0
-118.289212,34.019114,-0.020617,0.02221,0.037704,0,0
-118.289212,34.019114,0.01457,-0.011295,-0.002502,0,0
-118.289212,34.019114,-0.008525,-0.005321,-0.009852,0,0
-118.289235,34.019124,-0.000842,-0.000087,0.010557,0,0
-118.289235,34.019124,0.009879,-0.001498,-0.009985,0,0
-118.289235,34.019124,-0.009166,0.004102,0.007861,0,0
-118.289235,34.019124,0.005491,-0.000615,-0.004343,0,0
-118.289235,34.019124,-0.002563,0.000521,0.009796,0,0
-118.289268,34.019138,-0.000251,0.000297,-0.011578,0,0
-118.289268,34.019138,0.005875,0.013434,0.006663,0,0
-118.289268,34.019138,-0.003521,0.007417,-0.001718,0,0
-118.289268,34.019138,-0.001559,0.000389,-0.000857,0,0
-118.289308,34.019154,0.003537,0.004464,-0.001347,0,0
-118.289308,34.019154,-0.002945,-0.000381,0.005169,0,0
-118.289308,34.019154,0.000554,-0.012259,-0.005829,0,0
-118.289308,34.019154,0.000261,-0.000008,0.001702,0,0
-118.289347,34.019171,0.007245,0.007949,-0.021354,0,0
-118.289347,34.019171,-0.004623,-0.017319,0.040387,1,0
-118.289347,34.019171,-0.002799,0.019675,-0.052098,0,0
-118.289375,34.019183,0.001044,0.00031,0.038675,0,0
-118.289375,34.019183,-0.006267,0.00544,0.040061,0,0
-118.289375,34.019183,0.00677,-0.04673,-0.081811,0,0
-118.289375,34.019183,-0.011189,0.002463,0.046153,0,0
-118.289375,34.019183,0.016907,-0.01443,0.000465,0,0
-118.289401,34.019193,-0.010833,-0.002284,-0.017965,0,0
-118.289401,34.019193,0.002819,0.017918,0.011341,0,0
-118.289401,34.019193,0.000288,0.000084,-0.001217,0,0
-118.289401,34.019193,-0.006425,0.005212,-0.002704,0,0
-118.289429,34.019205,0.013107,0.004444,-0.000201,0,0
-118.289429,34.019205,-0.004517,0.002883,0.001847,0,0
-118.289429,34.019205,0.000012,-0.002273,-0.001785,0,0
-118.289429,34.019205,0.001351,-0.007551,0.000971,0,0
-118.289479,34.019226,-0.005889,0.008665,-0.00324,0,0
-118.289479,34.019226,0.009218,0.004058,-0.001691,0,0
-118.289479,34.019226,-0.006782,0.001788,0.009194,0,0
-118.289479,34.019226,0.00195,0.004257,-0.006641,0,0
-118.289564,34.019262,-0.000288,0.006219,-0.002924,0,0
-118.289564,34.019262,-0.01073,-0.001666,0.000733,0,0
-118.289564,34.019262,0.006313,0.000658,0.003212,0,0
-118.289564,34.019262,0.000364,0.003667,0.0042,0,0
-118.289654,34.0193,-0.004179,0.002869,-0.010996,0,0
-118.289654,34.0193,0.004795,-0.008936,0.007484,0,0
-118.289654,34.0193,0.003166,0.001693,0.00403,0,0
-118.289654,34.0193,-0.002038,0.002329,-0.008819,0,0
-118.289746,34.019339,0.001947,0.000409,0.007318,0,0
-118.289746,34.019339,-0.014886,-0.004948,-0.000758,0,0
-118.289746,34.019339,0.01119,0.004993,0.000649,0,0
-118.289746,34.019339,-0.001914,0.000039,-0.0023,0,0
-118.289839,34.019377,0.000457,-0.001466,-0.006003,0,0
-118.289839,34.019377,0.005849,-0.003832,0.00546,0,0
-118.289839,34.019377,-0.005729,0.001556,0.00923,0,0
-118.289839,34.019377,0.017089,0.00607,-0.007213,0,0
-118.289923,34.019413,-0.02282,-0.003762,-0.002216,0,0
-118.289923,34.019413,0.007036,0.004092,-0.001565,0,0
-118.289923,34.019413,-0.005373,-0.003643,-0.001235,0,0
-118.289923,34.019413,0.011368,-0.003017,0.008376,0,0
-118.290014,34.019451,-0.001158,0.000921,-0.003423,0,0
-118.290014,34.019451,-0.00319,0.001827,0.000204,0,0
-118.290014,34.019451,-0.000051,-0.000692,-0.003619,0,0
-118.290014,34.019451,0.000615,-0.000708,0.00181,0,0
-118.290093,34.019484,-0.005726,0.002374,-0.001391,0,0
-118.290093,34.019484,0.016023,-0.001209,0.004883,0,0
-118.290093,34.019484,-0.009952,0.003723,-0.005687,0,0
-118.290093,34.019484,0.001242,0.007458,0.002289,0,0
-118.290168,34.019516,-0.000436,0.00004,0.003043,0,0
-118.290168,34.019516,0.0093,-0.002181,0.000403,0,0
-118.290168,34.019516,-0.010064,0.005318,-0.00743,0,0
-118.290168,34.019516,0.005416,-0.004271,0.002326,0,0
-118.290242,34.019547,-0.003853,0.006415,0.00073,0,0
-118.290242,34.019547,0.003492,-0.00026,0.00321,0,0
-118.290242,34.019547,-0.005152,-0.00051,-0.001198,0,0
-118.290242,34.019547,0.007427,0.001624,0.002612,0,0
-118.290294,34.019569,-0.004645,-0.00396,-0.002331,0,0
-118.290294,34.019569,-0.001083,0.000756,-0.002575,0,0
-118.290294,34.019569,-0.000638,0.004047,0.001959,0,0
-118.290294,34.019569,0.000305,-0.009955,0.002037,0,0
