,Batch id, time, Longitude, Latitude,x,y,z,velocity,x_raw,y_raw,z_raw,label,speedbump,pothole
0,73,43:02.0,36.76370629,-1.2977343,0,0.002,-0.006,0,0,0.206757482,-0.620272446,0,0,0
1,73,43:02.0,36.76370629,-1.2977343,0,0,-0.001,0,0,0.206757482,-0.631272446,0,0,0
2,73,43:02.1,36.76370629,-1.2977343,0,-0.001,0.006,0,0,0.105757482,-0.025272446,0,0,0
3,73,43:02.2,36.76370629,-1.2977343,0.001,-0.002,-0.005,0,0.104,-0.102242518,-0.545272446,0,0,0
4,73,43:02.3,36.76370629,-1.2977343,-0.001,0.002,0.001,0,0.001,0.103757482,-0.442272446,0,0,0
5,73,43:02.4,36.76370629,-1.2977343,0,0.001,0.003,0,0.001,0.207757482,-0.130272446,0,0,0
6,73,43:02.5,36.76370629,-1.2977343,0,-0.002,-0.004,0,0.001,-0.000242518,-0.546272446,0,0,0
7,73,43:02.6,36.76370629,-1.2977343,0,0,0.005,0,0.001,-0.000242518,-0.026272446,0,0,0
8,73,43:02.7,36.76370629,-1.2977343,0.001,0.001,-0.001,0,0.104,0.102757482,-0.129272446,0,0,0
9,73,43:02.8,36.76370629,-1.2977343,0,-0.001,-0.003,0,0.104,-0.001242518,-0.441272446,0,0,0
10,73,43:03.0,36.76370629,-1.2977343,-0.001,0.001,0.004,0,-0.001,0.103757482,-0.021272446,0,0,0
12,73,43:03.1,36.76384141,-1.29768699,0,-0.001,0,15.9632543,-0.001,0.000757482,-0.021272446,0,0,0
13,73,43:03.2,36.76384141,-1.29768699,0,0,-0.003,15.9632543,-0.001,0.000757482,-0.336272446,0,0,0
14,73,43:03.3,36.76384141,-1.29768699,-0.001,0.001,0.003,15.9632543,-0.103,0.102757482,-0.030272446,0,0,0
15,73,43:03.4,36.76384141,-1.29768699,0.002,-0.001,0.001,15.9632543,0.105,-0.001242518,0.073727554,0,0,0
16,73,43:03.5,36.76384141,-1.29768699,0,0,-0.004,15.9632543,0.105,-0.001242518,-0.342272446,0,0,0
17,73,43:03.6,36.76384141,-1.29768699,-0.002,0.001,0.002,15.9632543,-0.103,0.102757482,-0.134272446,0,0,0
18,73,43:03.7,36.76384141,-1.29768699,0.001,0,0.002,15.9632543,-1.39E-17,0.102757482,0.071727554,0,0,0
19,73,43:03.8,36.76384141,-1.29768699,0,-0.001,-0.003,15.9632543,-1.39E-17,-0.002242518,-0.243272446,0,0,0
20,73,43:03.9,36.76384141,-1.29768699,-0.002,0.001,-0.001,15.9632543,-0.206,0.100757482,-0.346272446,0,0,0
21,73,43:04.0,36.76384141,-1.29768699,0,0,0.004,15.9632543,-0.206,0.100757482,0.069727554,0,0,0
23,73,43:04.1,36.76385069,-1.29768772,0.002,-0.001,0,1.042107569,-2.78E-17,-0.002242518,0.069727554,0,0,0
